stop_name	stop_lat	stop_lon
MURRAY AVE OPP MORROWFIELD	40.428141	-79.92514
MURRAY AVE AT MORROWFIELD FS	40.428711	-79.924471
MURRAY AVE AT FORWARD	40.429586	-79.923402
MURRAY AVE AT FORWARD	40.429925	-79.923608
MURRAY AVE AT PHILLIPS	40.432207	-79.923079
MURRAY AVE AT PHILLIPS	40.432443	-79.923216
MURRAY AVE AT HOBART	40.433481	-79.922944
MURRAY AVE AT HOBART	40.433806	-79.923028
MURRAY AVE AT BEACON NS	40.434599	-79.922756
MURRAY AVE AT BEACON	40.434841	-79.922904
MURRAY AVE AT BARTLETT	40.43609	-79.92297
MURRAY AVE AT BARTLETT FS	40.436154	-79.922797
MURRAY AVE AT DARLINGTON	40.437031	-79.923024
FORBES AVE AT MURRAY	40.43798	-79.923191
FORBES AVE AT WIGHTMAN	40.43798	-79.928143
FORBES AVE AT MURDOCH	40.437939	-79.930612
FORBES AVE AT MURDOCH	40.438132	-79.927529
FORBES AVE AT PLAINFIELD	40.440608	-79.935761
FORBES AVE AT MARGARET MORRISON NS	40.44276	-79.93755
FORBES AVE OPP MARGARET MORRISON	40.444745	-79.943937
FORBES AVE AT MOREWOOD FS (CARNEGIE MELLON)	40.445732	-79.95323
