stop_name	stop_lat	stop_lon
ELMWOOD DR AT #5189	40.358511	-79.960944
CURRY RD OPP NORWIN	40.357911	-79.992287
BAPTIST RD AT PLYMOUTH	40.357806	-79.997661
FRICH DR AT #4765	40.358232	-79.975731
ELMWOOD DR AT #5087	40.358535	-79.960967
LEBANON RD AT SOUTH HILLS INDUSTRIAL PARK	40.359124	-79.933966
HAMILTON RD OPP ANDREA	40.357545	-80.016005
CURRY RD AT NORWIN	40.358019	-79.992023
FT COUCH RD AT QUIGG	40.356598	-80.065132
ELMWOOD DR AT #5072	40.358647	-79.961191
FT COUCH RD OPP QUIGG	40.356622	-80.065309
LEBANON RD AT HARLEY DAVIDSON DRVWY FS	40.359193	-79.933878
NORWIN DR AT CURRY	40.358101	-79.992244
HAMILTON RD AT ANDREA	40.357669	-80.016207
BROWNSVILLE RD OPP CURRY	40.358173	-79.990558
DOYLE RD AT #4830	40.358529	-79.972878
CURRY RD AT BROWNSVILLE	40.358185	-79.991015
STILLEY RD AT DOYLE	40.358418	-79.979074
PROSPECT RD OPP CAPREL TOWNHOUSES	40.358873	-79.958743
LEBANON RD AT HARLEY DAVIDSON	40.359364	-79.934058
LEBANON RD AT AIRPORT EAST INDUS PARK	40.359376	-79.934169
DOYLE RD OPP GERARD	40.358549	-79.977851
ROLLING HILLS RD AT #4632	40.358266	-79.994095
BROWNSVILLE RD AT CURRY	40.358339	-79.990682
BERYL DR AT #1724	40.358984	-79.957225
DOYLE RD AT GERARD	40.358613	-79.977901
ROLLING HILLS RD AT #4631	40.358316	-79.993781
E WILLOCK RD AT SENIOR	40.358913	-79.965976
GROVE RD AT VILLAGE LANE	40.35822	-80.003902
DOYLE RD AT STILLEY	40.358698	-79.979347
BANK ST AT DEWEY	40.356192	-80.110054
E WILLOCK RD OPP SENIOR	40.359091	-79.96614
MALOR DR OPP ELDERSLEE	40.3593	-79.956252
NORWIN DR OPP ROLLING HILLS	40.358608	-79.992435
ROLLING HILLS RD AT NORWIN	40.35861	-79.992568
GROVE RD AT VILLAGE	40.358402	-80.003713
FRICH DR AT DOYLE	40.359036	-79.975737
DOYLE RD AT FRICH	40.359029	-79.976147
GILKESON RD AT #187	40.3575	-80.055401
DEWEY AVE OPP BANK	40.356433	-80.110352
GILKESON RD OPP #183	40.357565	-80.055189
DOYLE RD OPP FRICH	40.359149	-79.975646
BAPTIST RD OPP BALDWIN MANOR	40.358875	-79.995657
FT COUCH RD OPP HARROGATE	40.357517	-80.065581
WASHINGTON AVE AT JAMES	40.356566	-80.113229
FT COUCH RD AT HARROGATE	40.357568	-80.065692
WASHINGTON AVE OPP JAMES FS (POST OFFICE)	40.356631	-80.113317
BAPTIST RD AT BALDWIN MANOR	40.358995	-79.995679
STILLEY RD OPP PROSPECT	40.359292	-79.980456
MALOR DR AT HOLLYROOD	40.359802	-79.95561
BERYL DR AT #1690	40.359777	-79.958607
STILLEY RD AT PROSPECT	40.35937	-79.980421
FT COUCH RD OPP TUSCANNY	40.357611	-80.06971
GILKESON RD AT #223	40.357925	-80.056754
E WILLOCK RD AT #4902	40.359709	-79.966358
BUTTERMILK HOLLOW RD OPP THOMPSON RUN	40.360829	-79.907743
FT COUCH RD AT TUSCANNY	40.357721	-80.069512
MIFFLIN RD AT THOMPSON RUN FS	40.360878	-79.907602
PROSPECT RD AT STILLEY	40.359531	-79.980534
GILKESON RD AT #223	40.358038	-80.056664
E WILLOCK RD AT JUNIOR	40.359864	-79.966305
PENNSYLVANIA AVE OPP CONLIN	40.36172	-79.867877
CONLIN ST AT PENNSYLVANIA	40.361738	-79.868176
